Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Offender_Number,Person_Type,Victim_Race,Victim_Gender,Victim_Age,Victim_Number,Victim_Fatal_Status,Hate_Crime,Report_Type,address,GNOCDC_LAB,pop
G-31461-18,3,39XX Franklin Av,OPEN,35D,SIMPLE BATTERY (DOMESTIC),7/25/2018 18:56,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,34,1,VICTIM,BLACK,FEMALE,33,1,Non-fatal,NA,Incident Report,"3900 Franklin Av., New Orleans, LA",GENTILLY TERRACE,23183
D-10565-18,5,Saint Claude Av & Spain St,OPEN,35,SIMPLE BATTERY,4/9/2018 16:35,NA,NA,BLACK,MALE,NA,7,WITNESS,BLACK,FEMALE,41,8,Non-fatal,NA,Incident Report,"Saint Claude Av & Spain St., New Orleans, LA",HOLY CROSS,12942
I-07361-18,5,25XX N Derbigny St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),9/7/2018 0:53,NA,NA,BLACK,MALE,29,1,INTERVIEW,BLACK,FEMALE,12,1,Non-fatal,NA,Incident Report,"2500 N Derbigny St., New Orleans, LA",ST. ROCH,32067
J-17839-18,1,7XX N Tonti St,OPEN,103D,DISTURBANCE (DOMESTIC),10/14/2018 11:02,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,14,2,Non-fatal,NA,Incident Report,"700 N Tonti St., New Orleans, LA",TREME - LAFITTE,18492
F-06693-18,6,26XX Martin Luther King Jr Bd,CLOSED,56,SIMPLE CRIMINAL DAMAGE,6/6/2018 11:05,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,MALE,37,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Supplemental Report,"2600 Martin Luther King Jr Bd., New Orleans, LA",CENTRAL CITY,35385
I-05819-18,3,XX Wren,OPEN,29,DEATH,9/5/2018 20:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,WHITE,MALE,72,2,Non-fatal,NA,Incident Report,"00 Wren., New Orleans, LA",LAKESHORE - LAKE VISTA,12956
B-21250-18,5,22XX Touro St,OPEN,103D,DISTURBANCE (DOMESTIC),2/18/2018 1:02,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,41,1,Non-fatal,NA,Incident Report,"2200 Touro St., New Orleans, LA",SEVENTH WARD,23878
H-39578-18,3,45XX Old Gentilly Rd,OPEN,21,MISCELLANEOUS INCIDENT,8/31/2018 8:10,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,58,1,Non-fatal,NA,Incident Report,"4500 Old Gentilly Rd., New Orleans, LA",DESIRE AREA,17275
C-22739-18,3,17XX Gentilly Bd,OPEN,21,MISCELLANEOUS INCIDENT,3/19/2018 3:25,NA,NA,NA,NA,NA,NA,REPORTING PERSON,HISPANIC,FEMALE,42,1,Non-fatal,NA,Incident Report,"1700 Gentilly Bd., New Orleans, LA",FAIRGROUNDS,16551
H-24092-18,6,19XX Saint Charles Av,OPEN,67,THEFT,8/19/2018 13:08,14 67,THEFT,WHITE,MALE,NA,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"1900 Saint Charles Av., New Orleans, LA",LOWER GARDEN DISTRICT,18708
H-35781-18,3,23XX Gentilly Bd C,OPEN,60,AGGRAVATED BURGLARY,8/28/2018 10:58,14 62.2,SIMPLE BURGLARY (INHABITED DWELLING),BLACK,MALE,NA,2,VICTIM,BLACK,MALE,36,2,Non-fatal,NA,Incident Report,"2300 Gentilly Bd C., New Orleans, LA",DILLARD,14753
C-03169-18,6,6XX Marengo St,OPEN,42,AGGRAVATED RAPE,3/3/2018 10:00,14 42,FIRST DEGREE RAPE,NA,NA,NA,1,VICTIM,WHITE,FEMALE,86,1,Non-fatal,NA,Incident Report,"600 Marengo St., New Orleans, LA",EAST RIVERSIDE,8942
A-25613-18,7,80XX Trapier St B,CLOSED,17F,FUGITIVE ATTACHMENT,1/22/2018 16:26,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,FEMALE,27,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"8000 Trapier St B., New Orleans, LA",LITTLE WOODS,44947
G-32707-18,7,77XX Newcastle St,OPEN,103D,DISTURBANCE (DOMESTIC),7/26/2018 17:20,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,23,1,Non-fatal,NA,Incident Report,"7700 Newcastle St., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
E-29896-18,5,15XX Charbonnet St,CLOSED,29,DEATH,5/24/2018 7:31,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,60,2,Non-fatal,NA,Incident Report,"1500 Charbonnet St., New Orleans, LA",LOWER NINTH WARD,9228
J-17141-18,7,1XX Mary Jane Ln,OPEN,67A,AUTO THEFT,10/14/2018 4:23,14 67.26,THEFT OF A MOTOR VEHICLE,NA,NA,NA,1,VICTIM,BLACK,FEMALE,53,1,Non-fatal,NA,Incident Report,"100 Mary Jane Ln., New Orleans, LA",LITTLE WOODS,44947
C-35067-18,4,63XX Woodland Hw 6S,OPEN,103D,DISTURBANCE (DOMESTIC),3/26/2018 18:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,35,1,Non-fatal,NA,Incident Report,"6300 Woodland Hw 6S., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
B-09386-18,8,Canal St & Bourbon St,CLOSED,966,DRUG LAW VIOLATION,2/8/2018 23:45,14 95,ILLEGAL CARRYING OF WEAPON,BLACK,MALE,26,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Canal St & Bourbon St., New Orleans, LA",TULANE - GRAVIER,17445
L-04051-18,3,46XX Paris Av,OPEN,21,MISCELLANEOUS INCIDENT,12/4/2018 7:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,NA,NA,NA,1,Non-fatal,NA,Incident Report,"4600 Paris Av., New Orleans, LA",FILMORE,19005
F-03528-18,2,25XX Monticello Av,CLOSED,56,SIMPLE CRIMINAL DAMAGE,6/3/2018 21:50,54 151,CRIMINAL DAMAGE TO PROPERTY,WHITE,MALE,65,1,VICTIM,WHITE,FEMALE,34,1,Non-fatal,NA,Supplemental Report,"2500 Monticello Av., New Orleans, LA",LOWER NINTH WARD,9228
B-01823-18,5,23XX N Claiborne Av,OPEN,21P,LOST PROPERTY,2/2/2018 5:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-fatal,NA,Supplemental Report,"2300 N Claiborne Av., New Orleans, LA",ST. ROCH,32067
G-28767-18,5,22XX N Derbigny St,OPEN,35,SIMPLE BATTERY,7/23/2018 16:30,14 35,SIMPLE BATTERY,BLACK,FEMALE,NA,1,VICTIM,AMER. IND.,MALE,48,1,Non-fatal,NA,Incident Report,"2200 N Derbigny St., New Orleans, LA",ST. ROCH,32067
J-09027-18,3,45XX Old Gentilly Rd,CLOSED,64G,ARMED ROBBERY (GUN),10/7/2018 9:15,NA,NA,NA,NA,NA,NA,VICTIM,NA,NA,NA,1,Non-fatal,NA,Supplemental Report,"4500 Old Gentilly Rd., New Orleans, LA",DESIRE AREA,17275
H-02366-18,8,3XX Poydras St,OPEN,103D,DISTURBANCE (DOMESTIC),8/2/2018 19:45,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,43,1,Non-fatal,NA,Incident Report,"300 Poydras St., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
K-25990-18,4,15XX Odeon Av,OPEN,56,SIMPLE CRIMINAL DAMAGE,11/19/2018 17:15,NA,NA,NA,NA,NA,1,INTERVIEW,BLACK,FEMALE,58,1,Non-fatal,NA,Incident Report,"1500 Odeon Av., New Orleans, LA",BEHRMAN,25562
F-34347-18,1,19XX Canal St,OPEN,21R,OUT OF PARISH VEHICLE RECOVERY,6/28/2018 11:39,NA,NA,NA,NA,NA,NA,REPORTING PERSON,WHITE,MALE,52,1,Non-fatal,NA,Incident Report,"1900 Canal St., New Orleans, LA",TULANE - GRAVIER,17445
D-24697-18,6,32XX Toledano St,OPEN,103D,DISTURBANCE (DOMESTIC),4/21/2018 5:30,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,20,2,Non-fatal,NA,Incident Report,"3200 Toledano St., New Orleans, LA",BROADMOOR,15376
E-33060-18,6,14XX General Taylor St,CLOSED,35,SIMPLE BATTERY,5/26/2018 16:15,54 151,CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,21,1,VICTIM,NA,NA,NA,3,Non-fatal,NA,Incident Report,"1400 General Taylor St., New Orleans, LA",TOURO,16244
D-15166-18,5,16XX Saint Roch Av,OPEN,103,DISTURBANCE,4/13/2018 10:15,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,37,2,Non-fatal,NA,Incident Report,"1600 Saint Roch Av., New Orleans, LA",ST. ROCH,32067
K-26865-18,7,46XX Virgilian St,OPEN,21,MISCELLANEOUS INCIDENT,11/21/2018 14:17,NA,NA,NA,NA,NA,NA,REPORTING PERSON,NA,NA,NA,1,Non-fatal,NA,Incident Report,"4600 Virgilian St., New Orleans, LA",PINES VILLAGE,20976
F-21080-18,5,19XX Congress St,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),6/18/2018 7:18,14 34,AGG. BATTERY,BLACK,MALE,45,1,VICTIM,BLACK,MALE,47,1,Non-fatal,NA,Supplemental Report,"1900 Congress St., New Orleans, LA",ST. CLAUDE,18616
K-20977-18,8,Conti & Bourbon,OPEN,21,MISCELLANEOUS INCIDENT,11/15/2018 23:15,NA,NA,NA,NA,NA,NA,VICTIM,UNKNOWN,NA,NA,1,Non-fatal,NA,Incident Report,"Conti & Bourbon., New Orleans, LA",NA,NA
C-06725-18,3,General Ogden & Marks,CLOSED,17F,FUGITIVE ATTACHMENT,3/6/2018 12:54,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,FEMALE,29,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"General Ogden & Marks., New Orleans, LA",HOLLYGROVE,11723
L-02061-18,8,Kerlerec St & Royal St,OPEN,103,DISTURBANCE,12/2/2018 18:58,NA,NA,WHITE,MALE,NA,1,INTERVIEW,WHITE,MALE,48,2,Non-fatal,NA,Incident Report,"Kerlerec St & Royal St., New Orleans, LA",SEVENTH WARD,23878
G-16824-18,6,19XX Magazine St,OPEN,103F,DISTURBANCE (FIGHT),7/14/2018 0:40,14 35,SIMPLE BATTERY,BLACK,MALE,NA,1,VICTIM,WHITE,MALE,47,1,Non-fatal,NA,Incident Report,"1900 Magazine St., New Orleans, LA",LOWER GARDEN DISTRICT,18708
J-05182-18,5,22XX N Galvez St,OPEN,103D,DISTURBANCE (DOMESTIC),10/4/2018 19:23,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,63,1,Non-fatal,NA,Incident Report,"2200 N Galvez St., New Orleans, LA",ST. ROCH,32067
J-35085-18,1,5XX N Salcedo St,OPEN,67AR,AUTO THEFT & RECOVERY,10/28/2018 11:15,14 67.26,THEFT OF A MOTOR VEHICLE,BLACK,MALE,NA,1,VICTIM,BLACK,FEMALE,33,1,Non-fatal,NA,Incident Report,"500 N Salcedo St., New Orleans, LA",BAYOU ST. JOHN,19352
H-27025-18,6,Martin Luther King Jr Bd & S Claiborne Av,CLOSED,17F,FUGITIVE ATTACHMENT,8/21/2018 17:53,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,27,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Martin Luther King Jr Bd & S Claiborne Av., New Orleans, LA",NA,NA
A-05323-18,6,24XX 1st St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),1/5/2018 11:43,14 62,SIMPLE BURGLARY,NA,NA,NA,1,VICTIM,BLACK,MALE,42,1,Non-fatal,NA,Incident Report,"2400 1st St., New Orleans, LA",CENTRAL CITY,35385
G-21825-18,2,83XX S Claiborne Av,CLOSED,62C,SIMPLE BURGLARY (VEHICLE),7/18/2018 7:45,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,BLACK,MALE,26,2,VICTIM,BLACK,FEMALE,28,1,Non-fatal,NA,Incident Report,"8300 S Claiborne Av., New Orleans, LA",LEONIDAS,21271
F-19301-18,5,23XX Congress St,CLOSED,67A,AUTO THEFT,6/16/2018 15:30,14 68.4,UNAUTHORIZED USE OF A MOTOR VEHICLE,BLACK,MALE,16,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Supplemental Report,"2300 Congress St., New Orleans, LA",FLORIDA AREA,9424
I-34353-18,1,4XX S Lopez St,OPEN,21,MISCELLANEOUS INCIDENT,9/27/2018 18:09,NA,NA,NA,NA,NA,NA,REPORTING PERSON,HISPANIC,MALE,33,1,Non-fatal,NA,Incident Report,"400 S Lopez St., New Orleans, LA",MID-CITY,29937
H-07958-18,7,147XX Chef Menteur Hw,OPEN,55,AGGRAVATED CRIMINAL DAMAGE,8/3/2018 21:25,14 94,ILLEGAL USE OF WEAPONS,NA,NA,NA,2,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"14700 Chef Menteur Hw., New Orleans, LA",VIAVANT - VENETIAN ISLES,26085
G-16306-18,4,56XX General De Gaulle Dr,OPEN,21P,LOST PROPERTY,7/13/2018 11:00,NA,NA,NA,NA,NA,NA,INTERVIEW,WHITE,MALE,47,2,Non-fatal,NA,Supplemental Report,"5600 General De Gaulle Dr., New Orleans, LA",OLD AURORA,40130
A-23871-18,7,68XX Tara Ln,CLOSED,35,SIMPLE BATTERY,1/21/2018 15:00,54 153,CRIMINAL TRESPASS,BLACK,FEMALE,28,1,VICTIM,BLACK,FEMALE,38,1,Non-fatal,NA,Incident Report,"6800 Tara Ln., New Orleans, LA",WEST LAKE FOREST,25071
L-03141-18,7,69XX Salem Dr,OPEN,27-29S,ATTEMPTED SUICIDE,12/3/2018 15:50,NA,NA,NA,NA,NA,NA,VICTIM,BLACK,FEMALE,16,1,Non-fatal,NA,Incident Report,"6900 Salem Dr., New Orleans, LA",LITTLE WOODS,44947
B-28817-18,5,24XX Frenchmen St,OPEN,103D,DISTURBANCE (DOMESTIC),2/23/2018 23:20,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,58,1,Non-fatal,NA,Incident Report,"2400 Frenchmen St., New Orleans, LA",SEVENTH WARD,23878
F-24096-18,1,15XX Bienville St,CLOSED,966,DRUG LAW VIOLATION,6/20/2018 14:20,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,20,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"1500 Bienville St., New Orleans, LA",IBERVILLE,8858
J-24407-18,6,26XX Philip St,OPEN,103D,DISTURBANCE (DOMESTIC),10/19/2018 22:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,32,2,Non-fatal,NA,Incident Report,"2600 Philip St., New Orleans, LA",CENTRAL CITY,35385
G-35086-18,5,30XX Edith Weston Pl,OPEN,103D,DISTURBANCE (DOMESTIC),7/28/2018 14:50,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,40,1,Non-fatal,NA,Incident Report,"3000 Edith Weston Pl., New Orleans, LA",DESIRE AREA,17275
Q-00097-18,3,17XX Gentilly Bd,OPEN,67B,BICYCLE THEFT,5/5/2018 6:30,14 67,THEFT,UNKNOWN,NA,NA,1,VICTIM,WHITE,MALE,36,1,Non-fatal,NA,Incident Report,"1700 Gentilly Bd., New Orleans, LA",FAIRGROUNDS,16551
I-13719-18,3,57XX Wickfield Dr,OPEN,29,DEATH,9/11/2018 17:00,NA,NA,NA,NA,NA,NA,WITNESS,BLACK,FEMALE,47,3,Non-fatal,NA,Incident Report,"5700 Wickfield Dr., New Orleans, LA",ST.  ANTHONY,13897
D-30362-18,7,47XX Longfellow St,OPEN,103D,DISTURBANCE (DOMESTIC),4/25/2018 20:30,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,37,1,Non-fatal,NA,Incident Report,"4700 Longfellow St., New Orleans, LA",READ BLVD WEST,16788
F-04967-18,6,31XX Washington Av,OPEN,103,DISTURBANCE,6/5/2018 0:45,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,40,1,Non-fatal,NA,Incident Report,"3100 Washington Av., New Orleans, LA",CENTRAL CITY,35385
E-35619-18,5,29XX Oliver White Av,OPEN,103,DISTURBANCE,5/28/2018 21:07,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,56,3,Non-fatal,NA,Incident Report,"2900 Oliver White Av., New Orleans, LA",DESIRE AREA,17275
M-00018-19,2,16XX Monroe St 4,OPEN,67,THEFT,12/31/2018 15:25,14 67,THEFT,UNKNOWN,NA,NA,1,VICTIM,BLACK,FEMALE,47,1,Non-fatal,NA,Incident Report,"1600 Monroe St 4., New Orleans, LA",LEONIDAS,21271
G-17339-18,3,56XX Music St,OPEN,103D,DISTURBANCE (DOMESTIC),7/14/2018 12:30,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,35,2,Non-fatal,NA,Incident Report,"5600 Music St., New Orleans, LA",MILNEBURG,14607
I-34783-18,1,S Claiborne Av & Cleveland Av,CLOSED,35,SIMPLE BATTERY,9/28/2018 0:45,54 96,BATTERY,BLACK,MALE,22,1,VICTIM,BLACK,MALE,49,1,Non-fatal,NA,Incident Report,"S Claiborne Av & Cleveland Av., New Orleans, LA",MARLYVILLE - FONTAINEBLEAU,20273
H-23822-18,5,29XX N Dorgenois St,OPEN,52F,FIRE,8/19/2018 7:53,14 52,SIMPLE ARSON,UNKNOWN,NA,NA,1,VICTIM,BLACK,FEMALE,49,1,Non-fatal,NA,Incident Report,"2900 N Dorgenois St., New Orleans, LA",ST. CLAUDE,18616
E-20184-18,4,21XX Cobblestone Ln A,OPEN,21,MISCELLANEOUS INCIDENT,5/16/2018 14:34,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,16,3,Non-fatal,NA,Incident Report,"2100 Cobblestone Ln A., New Orleans, LA",BEHRMAN,25562
H-36114-18,8,5XX Port Of New Orleans Pl,CLOSED,67S,SHOPLIFTING,8/28/2018 15:06,NA,NA,WHITE,MALE,36,1,WITNESS,BLACK,MALE,29,0,Non-fatal,NA,Incident Report,"500 Port Of New Orleans Pl., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
J-38728-18,8,5XX Port Of New Orleans Pl,OPEN,67,THEFT,10/30/2018 17:34,NA,NA,BLACK,FEMALE,NA,1,REPORTING PERSON,WHITE,FEMALE,31,1,Non-fatal,NA,Incident Report,"500 Port Of New Orleans Pl., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
G-05474-18,6,S Dorgenois St & Martin Luther King Jr Bd,CLOSED,966,DRUG LAW VIOLATION,7/5/2018 15:14,40 1023,PROHIBITED ACTS - DRUG PARAPHENALIA,BLACK,MALE,28,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"S Dorgenois St & Martin Luther King Jr Bd., New Orleans, LA",TULANE - GRAVIER,17445
D-04507-18,4,33XX Garden Oaks Dr F2,OPEN,103,DISTURBANCE,4/4/2018 15:45,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,34,2,Non-fatal,NA,Incident Report,"3300 Garden Oaks Dr F2., New Orleans, LA",TALL TIMBERS - BRECHTEL,35314
K-09758-18,8,5XX Madison Av,OPEN,67F,THEFT BY FRAUD,10/25/2018 12:00,14 67.16,IDENTITY THEFT,NA,NA,NA,1,VICTIM,WHITE,MALE,71,1,Non-fatal,NA,Incident Report,"500 Madison Av., New Orleans, LA",FRENCH QUARTER,15172
B-04846-18,2,89XX Jeannette St,OPEN,103D,DISTURBANCE (DOMESTIC),2/5/2018 1:50,NA,NA,NA,NA,NA,NA,REPORTING PERSON,WHITE,MALE,47,1,Non-fatal,NA,Incident Report,"8900 Jeannette St., New Orleans, LA",LEONIDAS,21271
F-26621-18,5,33XX Urquhart St,OPEN,56,SIMPLE CRIMINAL DAMAGE,6/22/2018 11:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,NA,NA,NA,1,VICTIM,BLACK,FEMALE,65,1,Non-fatal,NA,Incident Report,"3300 Urquhart St., New Orleans, LA",ST. CLAUDE,18616
J-14781-18,3,41XX S Carrollton Av,CLOSED,17F,FUGITIVE ATTACHMENT,10/12/2018 11:30,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,HISPANIC,MALE,31,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"4100 S Carrollton Av., New Orleans, LA",MID-CITY,29937
D-25499-18,5,17XX Saint Maurice Av,OPEN,35,SIMPLE BATTERY,4/20/2018 17:30,14 35,SIMPLE BATTERY,BLACK,FEMALE,NA,1,VICTIM,BLACK,FEMALE,24,1,Non-fatal,NA,Incident Report,"1700 Saint Maurice Av., New Orleans, LA",LOWER NINTH WARD,9228
L-22716-18,5,5XX Tupelo St,OPEN,35,SIMPLE BATTERY,12/18/2018 2:11,54 96,BATTERY,BLACK,MALE,38,1,VICTIM,BLACK,FEMALE,55,1,Non-fatal,NA,Incident Report,"500 Tupelo St., New Orleans, LA",HOLY CROSS,12942
F-30855-18,1,18XX Bienville St,OPEN,21,MISCELLANEOUS INCIDENT,6/25/2018 22:57,14 35,SIMPLE BATTERY,BLACK,FEMALE,NA,1,VICTIM,WHITE,FEMALE,37,1,Non-fatal,NA,Incident Report,"1800 Bienville St., New Orleans, LA",TULANE - GRAVIER,17445
G-29980-18,6,7XX Howard Av,OPEN,67S,SHOPLIFTING,7/24/2018 15:43,NA,NA,BLACK,MALE,NA,1,REPORTING PERSON,BLACK,FEMALE,NA,2,Non-fatal,NA,Incident Report,"700 Howard Av., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
H-26372-18,4,34XX Garden Oaks Dr 11,OPEN,21P,LOST PROPERTY,8/21/2018 8:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-fatal,NA,Supplemental Report,"3400 Garden Oaks Dr 11., New Orleans, LA",TALL TIMBERS - BRECHTEL,35314
H-13771-18,6,7XX Washington Av,OPEN,103,DISTURBANCE,8/11/2018 17:40,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,46,1,Non-fatal,NA,Incident Report,"700 Washington Av., New Orleans, LA",IRISH CHANNEL,12852
K-27821-18,3,66XX Franklin Av,CLOSED,67S,SHOPLIFTING,11/21/2018 9:18,NA,NA,BLACK,FEMALE,38,1,INTERVIEW,WHITE,MALE,NA,1,Non-fatal,NA,Incident Report,"6600 Franklin Av., New Orleans, LA",LAKE TERRACE & OAKS,18362
L-09925-18,2,47XX Prytania St,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,12/8/2018 3:30,14 67,THEFT,NA,NA,NA,1,VICTIM,WHITE,MALE,29,1,Non-fatal,NA,Incident Report,"4700 Prytania St., New Orleans, LA",UPTOWN,20018
B-10381-18,5,18XX Pauline St,OPEN,103M,DISTURBANCE (MENTAL),2/9/2018 18:12,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,14,2,Non-fatal,NA,Incident Report,"1800 Pauline St., New Orleans, LA",ST. CLAUDE,18616
J-17436-18,8,X Canal St,CLOSED,67B,BICYCLE THEFT,10/14/2018 15:09,NA,NA,WHITE,MALE,45,1,VICTIM,WHITE,MALE,58,1,Non-fatal,NA,Incident Report,"X Canal St., New Orleans, LA",TULANE - GRAVIER,17445
J-30152-18,6,37XX Annunciation St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),10/24/2018 1:00,14 62,SIMPLE BURGLARY,NA,NA,NA,1,VICTIM,WHITE,MALE,31,1,Non-fatal,NA,Supplemental Report,"3700 Annunciation St., New Orleans, LA",EAST RIVERSIDE,8942
J-26102-18,7,46XX Evangeline St,OPEN,103D,DISTURBANCE (DOMESTIC),10/21/2018 8:30,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,13,1,Non-fatal,NA,Incident Report,"4600 Evangeline St., New Orleans, LA",READ BLVD WEST,16788
C-30763-18,1,15XX Bienville St,OPEN,37,AGGRAVATED ASSAULT,3/24/2018 20:30,14 35,SIMPLE BATTERY,BLACK,FEMALE,23,1,VICTIM,BLACK,FEMALE,23,1,Non-fatal,NA,Incident Report,"1500 Bienville St., New Orleans, LA",IBERVILLE,8858
G-02363-18,1,12XX Columbus St,OPEN,21,MISCELLANEOUS INCIDENT,7/3/2018 2:00,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,38,1,Non-fatal,NA,Incident Report,"1200 Columbus St., New Orleans, LA",SEVENTH WARD,23878
D-30273-18,1,27XX Tulane Av,CLOSED,21,MISCELLANEOUS INCIDENT,4/25/2018 17:15,COURT CAPIAS,CDC WARRANT#,WHITE,MALE,21,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"2700 Tulane Av., New Orleans, LA",MID-CITY,29937
G-17853-18,6,Magnolia St & Felicity St,CLOSED,65,SIMPLE ROBBERY,7/14/2018 22:40,NA,NA,BLACK,MALE,35,1,REPORTING PERSON,WHITE,FEMALE,51,2,Non-fatal,NA,Incident Report,"Magnolia St & Felicity St., New Orleans, LA",NA,NA
I-19211-18,3,45XX Chef Menteur Hw,OPEN,21,MISCELLANEOUS INCIDENT,9/16/2018 3:14,NA,NA,NA,NA,NA,NA,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"4500 Chef Menteur Hw., New Orleans, LA",DESIRE AREA,17275
C-28509-19,1,27XX Tulane Av,OPEN,21,MISCELLANEOUS INCIDENT,11/19/2018 9:00,14 110.1,JUMPING BAIL,BLACK,MALE,26,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"2700 Tulane Av., New Orleans, LA",MID-CITY,29937
H-29272-18,3,36XX Clermont Dr,OPEN,62C,SIMPLE BURGLARY (VEHICLE),8/23/2018 3:07,14 62,SIMPLE BURGLARY,WHITE,MALE,NA,1,VICTIM,BLACK,MALE,53,1,Non-fatal,NA,Incident Report,"3600 Clermont Dr., New Orleans, LA",GENTILLY TERRACE,23183
I-02349-18,5,15XX Franklin Av,OPEN,103D,DISTURBANCE (DOMESTIC),9/2/2018 22:26,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,40,1,Non-fatal,NA,Incident Report,"1500 Franklin Av., New Orleans, LA",ST. ROCH,32067
A-31967-18,5,13XX Congress St,OPEN,103D,DISTURBANCE (DOMESTIC),1/28/2018 0:21,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,45,2,Non-fatal,NA,Incident Report,"1300 Congress St., New Orleans, LA",ST. CLAUDE,18616
C-07341-18,2,78XX Plum St,OPEN,103D,DISTURBANCE (DOMESTIC),3/6/2018 23:00,NA,NA,NA,NA,NA,NA,VICTIM,BLACK,FEMALE,53,2,Non-fatal,NA,Incident Report,"7800 Plum St., New Orleans, LA",EAST CARROLLTON,17782
I-22576-18,7,68XX Parc Brittany Bd,OPEN,35,SIMPLE BATTERY,9/18/2018 17:00,NA,NA,BLACK,FEMALE,NA,1,REPORTING PERSON,BLACK,FEMALE,34,2,Non-fatal,NA,Incident Report,"6800 Parc Brittany Bd., New Orleans, LA",WEST LAKE FOREST,25071
B-03654-18,8,Dauphine St & Iberville St,OPEN,21,MISCELLANEOUS INCIDENT,2/4/2018 1:00,NA,NA,NA,NA,NA,NA,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Dauphine St & Iberville St., New Orleans, LA",BYWATER,25185
